Name,Price,Url,Brand,Length (mm),Gauge (ring),Type
Nub Sun Grown 466,115.0,https://havnens-vin.dk/cao-moontrance-3533.html,NUB,0,0,Unknown
Mini 10 stk.,59.0,https://havnens-vin.dk/partagas-mini-10-stk.html,Partagas,0,0,Unknown
Serie D No. 4,116.0,https://havnens-vin.dk/partagas-serie-d-no-4.html,Partagas,124,51,Unknown
Shorts,69.0,https://havnens-vin.dk/partagas-shorts.html,Partagas,110,43,Unknown
De Luxe Tubus,76.0,https://havnens-vin.dk/partagas-de-luxe-tubus.html,Partagas,140,41,Unknown
Serie E No. 2 Turbo,164.0,https://havnens-vin.dk/partagas-serie-e-no-2.html,Partagas,140,53,Unknown
Plasencia Reserva Original Nesticos,60.0,https://havnens-vin.dk/plasencia-reserva-original-nesticos-1.html,Plasencia Cigars,0,0,Unknown
Plasencia Reserva Original Robusto,95.0,https://havnens-vin.dk/plasencia-reserva-original-nesticos.html,Plasencia Cigars,0,0,Unknown
Plasencia Reserva 1898 Robusto ,75.0,https://havnens-vin.dk/plasencia-reserva-1898-robusto.html,Plasencia Cigars,0,0,Unknown
Perlas,48.0,https://havnens-vin.dk/rafael-gonzalez-perlas.html,Rafael Gonzalez,102,41,Unknown
Panetelas Extra,29.0,https://havnens-vin.dk/rafael-gonzalez-panetelas-extra.html,Rafael Gonzalez,127,38,Unknown
Small Club Corona,62.0,https://havnens-vin.dk/fonseca-delicias-1.html,Ramon Allones,110,51,Unknown
P.S. Medium Filler No. 1 Tubos,65.0,https://havnens-vin.dk/p-s-medium-filler-no-1-tubos.html,Private Stock ,175,51,Unknown
P.S. Medium Filler No. 2 Tubos,60.0,https://havnens-vin.dk/p-s-medium-filler-no-2-tubos.html,Private Stock ,159,46,Unknown
Romeo y Julieta Mini 10 stk. ,65.0,https://havnens-vin.dk/romeo-y-julieta-mini-10-stk.html,Romeo Y Julieta,0,0,Unknown
Romeo y Julieta Cedros de Luxe No. 3,83.0,https://havnens-vin.dk/romeo-y-julieta-cedros-de-luxe-no-3.html,Romeo Y Julieta,129,43,Unknown
Romeo y Julieta Sport Largos,44.0,https://havnens-vin.dk/romeo-y-julieta-sport-largos.html,Romeo Y Julieta,117,36,Unknown
Romeo y Julieta No. 2,67.0,https://havnens-vin.dk/romeo-y-julieta-no-2.html,Romeo Y Julieta,129,43,Unknown
Romeo y Julieta No. 1,75.0,https://havnens-vin.dk/romeo-y-julieta-no-1.html,Romeo Y Julieta,140,41,Unknown
Minutos,29.0,https://havnens-vin.dk/vegafina-minutos.html,VegaFina,100,31,Unknown
Short Belicosos F2,65.0,https://havnens-vin.dk/vegafina-short-belicosos-f2.html,VegaFina,103,53,Unknown
Perlas,49.0,https://havnens-vin.dk/vegafina-perlas.html,VegaFina,102,41,Unknown
Favoritos Tubos,48.0,https://havnens-vin.dk/quintero-favoritos-tubos.html,Quintero,115,51,Unknown
Tubulares,39.0,https://havnens-vin.dk/quintero-tubulares.html,Quintero,133,43,Unknown
Cazadores,28.0,https://havnens-vin.dk/jose-l-piedra-cazadores.html,Jose L. Piedra,0,0,Unknown
Petit Coronas,35.0,https://havnens-vin.dk/la-flor-de-cano-petit-coronas.html,La Flor De Cano,0,0,Unknown
